Geography Identifier,geography, total_population_2010, total_population_under_5_years_all_races_2010, percent_under_5_all_races_2010, total_under_18_all_2010, percent_under_18_2010_all_races, total_65_and_over_2010_all_races, percent_65_and_over_all_races_2010, total_population_black_2010, total_black_under_5_2010, total_black_under_18_2010, total_black_65_and_over_2010, percent_black_under_5_2010, percent_black_under_18_2010, percent_black_65_plus_2010, total_population_asian_2010, total_asian_under_5_2010, total_asian_under_18_2010, total_asian_65_and_over_2010, percent_asian_under_5_2010, percent_asian_under_18_2010, percent_asian_65_plus_2010, total_population_two_or_more_races_2010, total_two_or_more_under_5_2010, total_two_or_more_under_18_2010, total_two_or_more_65_and_over_2010, percent_two_or_more_under_5_2010, percent_two_or_more_under_2010_18_2010, percent_two_or_more_2010_65_plus_2010, total_population_Latino_2010, total_latino_under_5_2010, total_latino_under_18_2010, total_latino_65_and_over_2010, total_latino_under_5_2010, total_latino_under_18_2010, total_latino_65_plus_2010, total_population_white_2010, total_white_under_5_2010, total_white_under_18_2010, total_white_65_and_over_2010, percent_white_under_5_2010, percent_white_under_18_2010, total_white_65_plus_2010, total_population_black_2000, total_black_under_5_2000, total_black_under_18_2000, total_black_65_and_over_2000, percent_under_5_black_2000, percent_5_under_18_black_2000, total_65_and_over_black_2000, total_population_Asian_2000, total_under_5_Asian_2000, total_asian_under_18_2000, total_65_and_over_asian_2000, percent_under_5_asian_2000, percent_under_18_asian_2000, percent_65_plus_asian_2000, total_population_two_or_more_races_2000, total_two_or_more_under_5_total_2000, total_two_or_more_under_18_2000, total_65_and_over_two_or_more_races_2000, percent_two_or_more_under_5_2000, percent_two_or_more_races_under_18_2000, percent_two_or_more_65_plus_2000, total_population_latino_2000, totalunder_5_latino_2000, total_latino_under_18_2000, total_65_and_over_latino_2000, percent_under_5_latino_2000, percent_under_18_latino_2000, percent_65_plus_latino_2000, total_population_white_2000, totalunder_5_white_2000, total_white_under_18_2000, total_65_and_over_white_2000, percent_under_5_white_2000, percent_under_18_white_2000, percent_white_65_plus_2000,
8039,"Elbert County, Colorado",   622263,1157,5.0%,162676,26.1%,2193,9.5%,164,14,42,16,8.50%,25.60%,9.80%,173,6,53,10,3.50%,30.60%,5.80%,439,64,230,16,14.60%,52.40%,3.60%,1234,111,466,65,9.00%,37.80%,5.30%,21005,969,5066,2075,4.60%,24.10%,9.90%,128,8,46,6,6.30%,35.90%,4.70%,74,10,24,4,13.50%,32.40%,5.40%,349,42,342,10,12.00%,98.00%,2.90%,766,75,308,26,9.80%,40.20%,3.40%,18511,1174,5470,1140,6.30%,29.50%,6.20%
8041,"El Paso County, Colorado",    23086,45212,7.3%,5854,25.4%,62051,10.0%,38492,3039,11212,2485,7.90%,29.10%,6.50%,17055,873,3693,1633,5.10%,21.70%,9.60%,31787,5577,16915,743,17.50%,53.20%,2.30%,93665,11078,35876,4134,11.80%,38.30%,4.40%,447947,26685,100432,52959,6.00%,22.40%,11.80%,33670,3084,11114,1479,9.20%,33.00%,4.40%,13099,848,2779,977,6.50%,21.20%,7.50%,20213,3544,20465,490,17.50%,101.20%,2.40%,58401,6853,21519,2232,11.70%,36.80%,3.80%,393819,25791,98959,39595,6.50%,25.10%,10.10%
8043,"Fremont County, Colorado",    46824,2120,4.5%,8211,17.5%,8244,17.6%,1843,11,52,20,0.60%,2.80%,1.10%,282,10,53,18,3.50%,18.80%,6.40%,881,112,326,93,12.70%,37.00%,10.60%,5770,358,1170,406,6.20%,20.30%,7.00%,37647,1655,6629,7686,4.40%,17.60%,20.40%,2464,19,41,20,0.80%,1.70%,0.80%,232,4,47,13,1.70%,20.30%,5.60%,842,77,756,68,9.10%,89.80%,8.10%,4776,242,1002,291,5.10%,21.00%,6.10%,37408,1898,8106,6328,5.10%,21.70%,16.90%
8045,"Garfield County, Colorado",    56389,4490,8.0%,15216,27.0%,4717,8.4%,385,34,104,14,8.80%,27.00%,3.60%,370,13,88,21,3.50%,23.80%,5.70%,1460,196,626,58,13.40%,42.90%,4.00%,15978,1958,6281,276,12.30%,39.30%,1.70%,38784,2387,8411,4349,6.20%,21.70%,11.20%,196,10,54,5,5.10%,27.60%,2.60%,191,12,48,8,6.30%,25.10%,4.20%,804,113,778,24,14.10%,96.80%,3.00%,7300,1022,2712,127,14.00%,37.20%,1.70%,35449,2155,8831,3673,6.10%,24.90%,10.40%
8047,"Gilpin County, Colorado",     5441,281,5.2%,959,17.6%,514,9.4%,28,1,6,2,3.60%,21.40%,7.10%,77,2,14,3,2.60%,18.20%,3.90%,97,6,35,7,6.20%,36.10%,7.20%,267,26,84,11,9.70%,31.50%,4.10%,4947,243,818,489,4.90%,16.50%,9.90%,25,1,4,2,4.00%,16.00%,8.00%,33,5,8,0,15.20%,24.20%,0.00%,89,15,85,1,16.90%,95.50%,1.10%,202,17,54,7,8.40%,26.70%,3.50%,4377,233,899,259,5.30%,20.50%,5.90%
8049,"Grand County, Colorado",    14843,838,5.6%,3018,20.3%,1519,10.2%,57,4,14,6,7.00%,24.60%,10.50%,125,4,14,9,3.20%,11.20%,7.20%,241,31,107,8,12.90%,44.40%,3.30%,1116,127,405,25,11.40%,36.30%,2.20%,13313,679,2497,1470,5.10%,18.80%,11.00%,60,1,10,0,1.70%,16.70%,0.00%,85,6,15,5,7.10%,17.60%,5.90%,143,17,124,2,11.90%,86.70%,1.40%,543,70,179,14,12.90%,33.00%,2.60%,11577,631,2469,946,5.50%,21.30%,8.20%
8051,"Gunnison County, Colorado",    15324,779,5.1%,2780,18.1%,1351,8.8%,48,3,5,2,6.30%,10.40%,4.20%,100,3,10,1,3.00%,10.00%,1.00%,302,28,101,10,9.30%,33.40%,3.30%,1255,118,399,39,9.40%,31.80%,3.10%,13658,639,2301,1297,4.70%,16.80%,9.50%,68,5,12,2,7.40%,17.60%,2.90%,75,0,8,4,0.00%,10.70%,5.30%,240,31,208,6,12.90%,86.70%,2.50%,700,81,217,35,11.60%,31.00%,5.00%,12886,544,2197,920,4.20%,17.00%,7.10%
8053,"Hinsdale County, Colorado",      843,60,7.1%,168,19.9%,147,17.4%,3,0,2,0,0.00%,66.70%,0.00%,3,0,0,0,0.00%,0.00%,0.00%,15,2,6,0,13.30%,40.00%,0.00%,24,3,6,2,12.50%,25.00%,8.30%,786,55,148,145,7.00%,18.80%,18.40%,0,0,0,0,0.00%,0.00%,0.00%,2,0,0,0,0.00%,0.00%,0.00%,4,0,2,0,0.00%,50.00%,0.00%,12,3,5,0,25.00%,41.70%,0.00%,763,43,145,92,5.60%,19.00%,12.10%
8055,"Huerfano County, Colorado",     6711,274,4.1%,1188,17.7%,1689,25.2%,35,0,12,8,0.00%,34.30%,22.90%,25,0,7,1,0.00%,28.00%,4.00%,260,25,85,56,9.60%,32.70%,21.50%,2368,149,605,451,6.30%,25.50%,19.00%,4151,115,546,1199,2.80%,13.20%,28.90%,216,4,17,1,1.90%,7.90%,0.50%,31,0,4,4,0.00%,12.90%,12.90%,292,23,255,22,7.90%,87.30%,7.50%,2763,169,753,390,6.10%,27.30%,14.10%,4590,158,804,923,3.40%,17.50%,20.10%
8057,"Jackson County, Colorado",     1394,62,4.4%,260,18.7%,257,18.4%,0,0,0,0,0.00%,0.00%,0.00%,1,0,0,0,0.00%,0.00%,0.00%,16,1,4,0,6.30%,25.00%,0.00%,150,14,51,3,9.30%,34.00%,2.00%,1219,47,203,252,3.90%,16.70%,20.70%,4,0,2,0,0.00%,50.00%,0.00%,1,0,0,0,0.00%,0.00%,0.00%,20,0,19,3,0.00%,95.00%,15.00%,103,11,53,3,10.70%,51.50%,2.90%,1452,78,345,200,5.40%,23.80%,13.80%
